method,mean,std
Cholesky,0.13589478152556306,0.07051138698030092
PCA,0.1453673017120162,0.07511906585418703
PCA-cor,0.1434643828002141,0.0765313840605294
ZCA,0.13277724996316162,0.07210761690269372
ZCA-cor,0.134901425732291,0.07243374471902472
