method,mean,std
Cholesky,0.1341083838354672,0.06843426290146074
PCA,0.13511947316597853,0.06809808801540265
PCA-cor,0.1321950439339236,0.06781051370678372
ZCA,0.14772830107023677,0.07493529666774003
ZCA-cor,0.1443078791675165,0.07296767995652366
