method,mean_mean_dcor,sd_mean_dcor,mean_max_dcor,sd_max_dcor
Cholesky,0.053754909257367846,0.0014217441729906816,0.11335187488573599,0.021828288356484205
PCA,0.05418945642716546,0.0013975553689742515,0.10956279950361787,0.01623033494798046
PCA-cor,0.05393907322154099,0.0012080875105936028,0.11209973372430335,0.016630781177405046
ZCA,0.053511125723643894,0.0014591128556209376,0.10853407605969774,0.021179061083474865
ZCA-cor,0.05344828977889863,0.001445593071973672,0.10814220167989566,0.02280304835566696
