method,mean,std
Cholesky,0.1386548185563911,0.02494582659171804
PCA,0.1426357621736057,0.024874098164320506
PCA-cor,0.1401109046665552,0.02662341018877841
ZCA,0.14098806583045476,0.02583355664563746
ZCA-cor,0.14043439012710074,0.02676351642953946
