method,mean,std
Cholesky,0.08246425416440671,0.009808140612436993
PCA,0.08466055999992408,0.009055927593066471
PCA-cor,0.08431861502414378,0.008088279586772152
ZCA,0.08452082377650708,0.008922963036229609
ZCA-cor,0.08389890650422017,0.008750329319044792
