method,mean,std
Cholesky,0.11080794918496846,0.015753810825102403
PCA,0.1115575473230362,0.013757753634132095
PCA-cor,0.11167650993917161,0.01527717046205974
ZCA,0.11310488976456806,0.01488136033494294
ZCA-cor,0.11447181174199304,0.014052860168653458
