method,mean,std
Cholesky,0.0833928003750636,0.02462274428161283
PCA,0.08530207375140275,0.0235041250399262
PCA-cor,0.08893564610440925,0.021693886742257237
ZCA,0.08447603689742818,0.02183185204407871
ZCA-cor,0.08285669634201412,0.02199427432060035
