method,mean,std
Cholesky,0.10788194086920454,0.0649895216283874
PCA,0.1091470519661383,0.06521894577671253
PCA-cor,0.11841918384601069,0.06776682117549315
ZCA,0.10340614445535495,0.06360289152828853
ZCA-cor,0.10154375399202312,0.05846900739319297
