seed,Cholesky,PCA,PCA-cor,ZCA,ZCA-cor
0,0.05039201121580334,0.10634189431470437,0.09745274150574108,0.0643343600809516,0.06904461573077272
1,0.0677715694772942,0.07254458078374423,0.07785016767395754,0.06915700537210738,0.06590330816806696
2,0.07349207358880244,0.0885996476770248,0.08784783925358103,0.06264826629506859,0.05843326092541528
3,0.06510018824393862,0.08204925576152114,0.06803377559430088,0.07586542517579999,0.0794210612077064
4,0.05942901215104703,0.05971656715207272,0.060774830243899965,0.10011895167547016,0.10795971591644997
5,0.15122564189481402,0.06268810781282724,0.06535280770949356,0.11231441881224097,0.10888596749399056
6,0.0592124860473392,0.0800282429602114,0.11047479809437037,0.08203753275168889,0.07749199665672092
7,0.09054287825819969,0.0719357750471942,0.08551239473726942,0.08883336542265051,0.0927257022801567
8,0.057754037411947186,0.07673915554369282,0.07446733388607749,0.060392887757357634,0.06438643863384332
9,0.0805318135840796,0.11029618094487138,0.10947140520080968,0.07411674803552429,0.0747962517152118
10,0.11738040034298779,0.06825849286353969,0.0688821403784011,0.12407668070236474,0.12218915426284194
11,0.06260362804376605,0.10369090522462021,0.08195901398361721,0.05464488558665749,0.054181020080515764
12,0.06667032183891874,0.043778182848112614,0.053083685996711275,0.04910051697112101,0.046174448254824085
13,0.08750298614456092,0.09127066865753948,0.11551967237164674,0.11239233241082479,0.07773225814914389
14,0.10416625493066861,0.09851122670689239,0.09457554912505482,0.10589671799858412,0.1083172268778287
15,0.07143315256760815,0.12636306274896256,0.06539470289439558,0.06923212711069504,0.07706364455709877
16,0.04679743080126877,0.10363310054410503,0.08565006458792039,0.06791964886859682,0.06567794327295978
17,0.05441334066402785,0.09782959827989775,0.0768500854484233,0.07930120745779679,0.08338802958610013
18,0.0987603019910579,0.09336153766403257,0.04904687862883922,0.07966183999448968,0.07693687064961977
19,0.10227663257592746,0.09360280945982047,0.09587196173570701,0.10892774516744172,0.10168963249648165
20,0.05873634586379211,0.05442472440008501,0.06113952606341072,0.06872978200158644,0.07068249677877043
21,0.12164523327918546,0.1512039999053249,0.07092523163882085,0.1521534087995612,0.15100057080668416
22,0.08937363049667417,0.09380024924934217,0.09387003956881729,0.09498411792331252,0.09650566978391469
23,0.11422427892208982,0.10533732522819748,0.0747940540197287,0.10670727535025616,0.1056442293926018
24,0.050904012674906705,0.047695342110269406,0.060124678499894404,0.07277561139054622,0.06417858044695174
25,0.07984219942819182,0.06116958091683428,0.06711825682126299,0.07045111679086592,0.06514784368897696
26,0.11595265497291497,0.09797769749223928,0.08976572844919334,0.12231784122211017,0.11653457369643902
27,0.08121827917997948,0.11921716755170328,0.08351641215960993,0.08604409569388324,0.08348080050817012
28,0.07566246587511005,0.05313334088640954,0.07436820829066569,0.08157072389360145,0.0784993701891501
29,0.1166184138520846,0.05194484019358534,0.06354221644902235,0.13256112440868936,0.13221652086683772
30,0.07471738992962924,0.1153254584191156,0.08864393533032963,0.09650508083102399,0.10429538860238406
31,0.05640872678350249,0.07455565396169905,0.07263404864289306,0.05608146747467691,0.06655617185246716
32,0.09920929516722356,0.05067709627221688,0.06334273978955754,0.059298449783261126,0.08233271912283859
33,0.10279761626808938,0.08837493420719096,0.07207391733937248,0.12114076432083346,0.1164156198959995
34,0.1208882512852928,0.1023202210663882,0.07676098947629344,0.05556727515277899,0.058797067993026246
35,0.07816421978050993,0.07827484543724238,0.07566890857262928,0.09588669262890988,0.0995698069465782
36,0.09883825229295377,0.07144310911002157,0.06746361561261782,0.06337099417435582,0.057353242681133315
37,0.11141810036565505,0.05339459131101986,0.06012426766546271,0.0631798896064628,0.07544053418979643
38,0.13290892731668247,0.13037471108497273,0.12731509281097667,0.09784509558780723,0.07526210816594035
39,0.06692808046564759,0.054488008819282834,0.1028283153149776,0.08466869540592487,0.08452070393325554
40,0.0897921683852669,0.09989023749033975,0.10247510354672953,0.06851066493692808,0.06940364523997335
41,0.09009560318082344,0.06181576458247215,0.09274618285872363,0.06216715361171471,0.07254144534821169
42,0.06575560062301822,0.06722862677225183,0.06717532471971835,0.05455277532517255,0.05189620801640953
43,0.05400402139695446,0.07521520061312752,0.05521265750379371,0.06477425271188617,0.062262686987992706
44,0.0682328607488373,0.1068367760533072,0.09667408956672373,0.06229409610121859,0.07334709229367235
45,0.0715564393755116,0.06588516022629289,0.0961135217095091,0.08841553647511957,0.08681763810873887
46,0.09848724743336097,0.0852896018941256,0.09770899650418409,0.08365784622157825,0.09422552020045112
47,0.1146630321523777,0.0666702000301689,0.09339330391076874,0.12246227125089869,0.12242853704445775
48,0.08976671977015742,0.08888718519767208,0.0699422954823642,0.07142042077667322,0.06118902217421913
49,0.09662508161904709,0.11186166418489542,0.09716937826234985,0.09111638745389766,0.10168828542550888
50,0.11369930518204113,0.08556308921379698,0.10398854178111884,0.08684241153303773,0.10418408929787894
51,0.06909650647956693,0.057620211284551436,0.05685898040188751,0.09188321835826102,0.09244677951279498
52,0.07907797886956716,0.043879837609680894,0.067222236407132,0.10688946449496464,0.10142391848324891
53,0.09947220017292277,0.10692297678080932,0.07082001159991262,0.07659278519905222,0.09460622914921793
54,0.08977891627754515,0.06904120301881761,0.0787630281575506,0.065183088572345,0.06880242062536797
55,0.10970515837179812,0.08763907852211804,0.07445812322141053,0.07202338314184047,0.08035672104098739
56,0.11472230477224558,0.1026818607599168,0.0472302365314325,0.14408750623802155,0.14775020615384554
57,0.09918871266431824,0.07606053801035731,0.08358258946590173,0.10787679910582294,0.12100342717166114
58,0.07577109372048614,0.07290339876742277,0.07004902203094476,0.0547692788414822,0.06827869237381506
59,0.10062691239697154,0.07675850882933381,0.07069094419478797,0.10899484397267065,0.10150246437695666
60,0.09437486978008199,0.05116749507648674,0.06362070065828888,0.09352260974358755,0.09207771457947297
61,0.08466431342363735,0.11821619244563292,0.11603453333412006,0.1200211757357011,0.13404116877130393
62,0.0543663152081702,0.0981235081458505,0.09761044580553024,0.0871237795120157,0.06353380431834289
