method,mean,std
Cholesky,0.11418910817893342,0.0659224373583473
PCA,0.11613061543558294,0.06793803903986399
PCA-cor,0.10442462564436683,0.061496039846944385
ZCA,0.1226928982895489,0.0704401750841977
ZCA-cor,0.1223258286474101,0.06888739102344693
