seed,Cholesky,PCA,PCA-cor,ZCA,ZCA-cor
0,0.15751041809009453,0.16402506143660991,0.08949515029851905,0.1543147826591412,0.15121386134535386
1,0.13874273821696068,0.1416034654071497,0.1374379000621894,0.09226995311232229,0.10770678524439502
2,0.10757369963943848,0.1438452892179913,0.14923303766914678,0.14220942581493815,0.12804375136081605
3,0.12954558673261327,0.11338569956783688,0.1262845396074538,0.14739790422947618,0.16531852479452994
4,0.15734273477988706,0.1728161951731867,0.14087341537466,0.1641268793301808,0.1715773310526433
5,0.1357313775806298,0.15157551478565218,0.12622759606264397,0.18618925984621285,0.18558976622775078
6,0.13889526630945295,0.1562619025254404,0.14940668819277697,0.14874558562478185,0.17417957082491983
7,0.13666201522592078,0.14406870645242467,0.15419008056438918,0.1727900654388359,0.1627899240039101
8,0.1819611067417506,0.16138059356142012,0.16436800252704253,0.14293169954526874,0.10931369497041228
9,0.14094140059529062,0.13218174538117414,0.1317444055338962,0.1420364110380089,0.14525098291392932
10,0.10715923799991856,0.14352665039834603,0.13003144359528462,0.18150204518872445,0.18362544932959202
11,0.16208317522971097,0.15860278435856984,0.15095075524134907,0.15020976861393662,0.15202365521646405
12,0.13321633301033764,0.1435911109082171,0.15032113489022297,0.15519073148288395,0.1468765621266875
13,0.14751003292200554,0.19055881801202487,0.18295384758747993,0.13881851944682594,0.13260163248240264
14,0.16982782907435187,0.1832940612399662,0.18299154082115568,0.13930222576328585,0.13960029518282088
15,0.1485804844985524,0.15115259611280518,0.13438664502397943,0.16386497668034608,0.16513179362541763
16,0.13649230788299502,0.16246195910061742,0.18113911639389343,0.137604507944823,0.1352837148413454
17,0.13518492204943008,0.15875071575581803,0.14845702979719533,0.14418756786253792,0.14475124194074254
18,0.14148453270404512,0.15139245160097412,0.1574983471271325,0.1355368109631344,0.10877304149905927
19,0.16903712121228134,0.1343295532343964,0.14722343023479498,0.1663618821251509,0.16514213583737028
20,0.15017246700995487,0.1356473395550405,0.11660442213030459,0.15177317293126014,0.15824190388738194
21,0.12171719783227723,0.12173778973743347,0.1221197564027169,0.10446781008289639,0.12906802268348377
22,0.17217211080770514,0.16113286974904992,0.14760807573137927,0.15606228270541034,0.15521346315358828
23,0.0937756627851455,0.10556755638129338,0.08189136461847202,0.14957752140649447,0.1595625425343705
24,0.148076341709846,0.13180499079143274,0.16620501131714002,0.15899201465328525,0.15526270996781114
25,0.16870891301719482,0.0978567522653536,0.15546949219674855,0.1564108949080039,0.16110771265371568
26,0.16217344623910154,0.06584576429610937,0.13797288614286884,0.1680282358912294,0.17085400104628176
27,0.10324102242099199,0.15426503005800193,0.15508265763400883,0.12072225074426439,0.10486041609508363
28,0.15343044740607117,0.16074595753635812,0.15499572649588458,0.14573224915570368,0.14493966141599193
29,0.07432571871562332,0.11611552325529233,0.11220870214999246,0.06816987851061755,0.0650874028498052
30,0.13103172378955752,0.1442647858501618,0.14339847790322724,0.06159425557970646,0.07575101896863572
31,0.1021556100166835,0.14329588459762013,0.15615705372322417,0.0674641554578142,0.07048481570118292
32,0.12193220502359821,0.12205338726827082,0.16527348493421082,0.14259976611878658,0.15265925223184892
33,0.13122610279548808,0.1136635319764525,0.09872354776419483,0.12654494709880323,0.12848901552556
34,0.1065870271936248,0.15417811537545809,0.14059702160179507,0.17189027003112645,0.16535042233476868
35,0.1538092593114947,0.1603694415516482,0.15751081685949916,0.1592891783408821,0.16142353383179198
36,0.14735503640313288,0.10484519610574466,0.10601434737725098,0.16285346641542156,0.15793058822552306
37,0.1418690892053749,0.16529898930669867,0.13913556659363524,0.1658807562936813,0.15938284183359278
38,0.1006180859114671,0.09897078271102071,0.05288530282179096,0.1744463555455936,0.17390476307806912
39,0.1400414063958858,0.13509010040373773,0.1474999526004617,0.13601366328167988,0.13779770308876751
40,0.13775123106314,0.12498174864268626,0.1190976190742422,0.1567363417141365,0.16146819188292685
