seed,method,pair_01,pair_02,pair_12,mean_dcor
0,ZCA,0.10044739969612126,0.08261662895885018,0.05875975760220579,0.08060792875239241
0,PCA,0.0712776686018619,0.056119185759458366,0.2239933272344788,0.11713006053193302
0,Cholesky,0.1124671711134269,0.062731802754675,0.08867746214547162,0.0879588120045245
0,ZCA-cor,0.0978803330912269,0.06902485091948911,0.06785296522019786,0.07825271641030462
0,PCA-cor,0.0639842471395034,0.0807010977430823,0.19521845296665333,0.11330126594974636
1,ZCA,0.06338952264934987,0.048752067583571174,0.23986251975890652,0.11733470333060919
1,PCA,0.0908669202093635,0.07154226307255285,0.088149873389467,0.08351968555712778
1,Cholesky,0.07448382500162616,0.09665217251846403,0.08530556943064833,0.08548052231691283
1,ZCA-cor,0.06471857487133366,0.04590475296908463,0.23326951699552909,0.11463094827864913
1,PCA-cor,0.069677623053666,0.11827078061060574,0.08490294135648999,0.0909504483402539
2,ZCA,0.2181332787703254,0.06662780735295792,0.061198247348046526,0.11531977782377661
2,PCA,0.06786544009489927,0.05458664869797093,0.1943576466257372,0.1056032451395358
2,Cholesky,0.2147815984489404,0.08830387841342557,0.06057918210148213,0.12122155298794936
2,ZCA-cor,0.22754802703371393,0.060520182480947975,0.05358349403069832,0.11388390118178675
2,PCA-cor,0.09002772976360514,0.08747014391914665,0.03611930434007724,0.07120572600760967
3,ZCA,0.04329845946915663,0.07252164271430729,0.25375677580494843,0.12319229266280411
3,PCA,0.12765437399211302,0.07337534006662001,0.08659386085862324,0.0958745249724521
3,Cholesky,0.1820832750097729,0.08389572448042187,0.14066471978259185,0.1355479064242622
3,ZCA-cor,0.10152373409675373,0.08098711603865485,0.18563073800764193,0.12271386271435018
3,PCA-cor,0.07485732458240925,0.06518524770237392,0.12851613082227042,0.0895195677023512
4,ZCA,0.051018622202945764,0.26161789453952694,0.042368177518674235,0.11833489808704899
4,PCA,0.06548396827410573,0.18783605641102283,0.067702891348045,0.10700763867772452
4,Cholesky,0.04212897776833533,0.24468282946688677,0.0480359453766599,0.111615917537294
4,ZCA-cor,0.04912216787049939,0.2667312428909775,0.04314799470153903,0.11966713515433863
4,PCA-cor,0.2591173314911646,0.05284381474873149,0.06495895099306778,0.12564003241098798
5,ZCA,0.13089701278246604,0.054544038759766086,0.10317084611983378,0.0962039658873553
5,PCA,0.09149450034438655,0.14412042848894108,0.13247319583618028,0.12269604155650264
5,Cholesky,0.21992549514167303,0.10364010868075042,0.07315432184677949,0.13223997522306766
5,ZCA-cor,0.07353263912918416,0.08259736468364333,0.11647035353492696,0.09086678578258482
5,PCA-cor,0.08711600667072478,0.10531366376934294,0.075757672175876,0.08939578087198123
6,ZCA,0.0887260676161563,0.12062949114919322,0.09803794310451965,0.10246450062328971
6,PCA,0.06395464240585934,0.2009461645884814,0.0891984117139442,0.11803307290276166
6,Cholesky,0.09440378661441014,0.08210036172229429,0.08531629058226595,0.08727347963965677
6,ZCA-cor,0.08042848856188302,0.17952087871283104,0.08456650221454275,0.11483862316308562
6,PCA-cor,0.05507663920176333,0.09531634675412948,0.11618392617342764,0.08885897070977349
7,ZCA,0.06832005872073983,0.08287050945114262,0.0816610068178278,0.07761719166323676
7,PCA,0.12673869203401372,0.10420022960750677,0.06451174649945061,0.09848355604699037
7,Cholesky,0.06723325247583027,0.19096184559576948,0.0620114498510483,0.106735515974216
7,ZCA-cor,0.059947204089794946,0.10047508782836324,0.07881159402430565,0.07974462864748795
7,PCA-cor,0.17911282263288664,0.062100432234535215,0.071236284378183,0.1041498464152016
8,ZCA,0.12353012171570936,0.05631313413874035,0.166363318154486,0.11540219133631191
8,PCA,0.06521357500737429,0.14253650307791157,0.06606386022335188,0.09127131276954592
8,Cholesky,0.2093388803470488,0.05580635924200966,0.08652913898491067,0.1172247928579897
8,ZCA-cor,0.12435513567200925,0.059014427987391226,0.1725759179269862,0.11864849386212889
8,PCA-cor,0.06387817691135986,0.21779442796818432,0.09389788528732126,0.12519016338895514
9,ZCA,0.0668922245829857,0.2056117910659553,0.08361965235177166,0.11870788933357089
9,PCA,0.07662150636525698,0.06403811686882833,0.22591139045134806,0.12219033789514445
9,Cholesky,0.08424138708354925,0.14974924547430946,0.07890871039914914,0.10429978098566928
9,ZCA-cor,0.06146326255139279,0.1623920810924363,0.10205828607730869,0.1086378765737126
9,PCA-cor,0.07723404510901916,0.06454928714507774,0.21713282182983162,0.11963871802797617
10,ZCA,0.10122052563829051,0.08967193419216483,0.18875469381717366,0.12654905121587634
10,PCA,0.05885627397750408,0.10483959912307163,0.20164778148640014,0.12178121819565861
10,Cholesky,0.11073593650767781,0.09526180297042665,0.17191598811965506,0.1259712425325865
10,ZCA-cor,0.08582837299898029,0.09157637405577403,0.2136205534946889,0.13034176684981438
10,PCA-cor,0.0633437296200588,0.1783561451912216,0.06789860786897856,0.10319949422675297
11,ZCA,0.07107741855123115,0.1490758077117517,0.171376148748771,0.1305097916705846
11,PCA,0.05510438000769638,0.06062239544288666,0.2622855567442055,0.1260041107315962
11,Cholesky,0.05267553646680243,0.15764929766243374,0.06350785794955226,0.0912775640262628
11,ZCA-cor,0.07277283108723977,0.2201561889067747,0.09105446405908664,0.12799449468436705
11,PCA-cor,0.24001019954273975,0.07029625613163182,0.0426826296375165,0.11766302843729602
12,ZCA,0.07021834408676554,0.2377468477900086,0.0585551295725493,0.12217344048310781
12,PCA,0.13787266339627824,0.08478348879061112,0.04992724796205909,0.09086113338298281
12,Cholesky,0.25456531294897694,0.04702266318487157,0.05883730483608458,0.12014176032331103
12,ZCA-cor,0.13346783725511588,0.17386134067339346,0.07250394793052435,0.12661104195301123
12,PCA-cor,0.07169139845004617,0.11109924680205976,0.063383422114052,0.08205802245538597
13,ZCA,0.057772005029521074,0.1667060614708871,0.11181933444337723,0.11209913364792846
13,PCA,0.06835188380359702,0.04509790681102329,0.23517645708009363,0.11620874923157132
13,Cholesky,0.042226461305717736,0.06857228729585507,0.2595793246980159,0.12345935776652957
13,ZCA-cor,0.059978649486139374,0.15745820020513082,0.1576908619793984,0.12504257055688953
13,PCA-cor,0.07911937080044355,0.055648549456977975,0.2246644827561571,0.1198108010045262
14,ZCA,0.2635190648740112,0.03703280000733542,0.06335358587828607,0.12130181691987758
14,PCA,0.09827018657889226,0.057000051752597376,0.19634441813489456,0.11720488548879475
14,Cholesky,0.07305658785847458,0.05038506400793437,0.14558738509470445,0.08967634565370447
14,ZCA-cor,0.2612676180047442,0.04297884773907442,0.04641304571677707,0.11688650382019855
14,PCA-cor,0.13198180925480046,0.1913024958435028,0.07301335112664488,0.1320992187416494
15,ZCA,0.268353183861516,0.0517045380045397,0.04314885387318093,0.12106885857974554
15,PCA,0.0482593022539555,0.09678577813245023,0.18406488302424137,0.10970332113688237
15,Cholesky,0.2594891280324584,0.053841079963291266,0.05003736753071387,0.12112252517548783
15,ZCA-cor,0.2652654612885856,0.049395508081909754,0.04359033287392057,0.11941710074813862
15,PCA-cor,0.052522334632753805,0.2047970838025882,0.08704098130878084,0.11478679991470762
16,ZCA,0.08006865280073777,0.08809242026842727,0.13115225993803364,0.09977111100239956
16,PCA,0.2530267747307992,0.05517513676007295,0.058066038788909834,0.12208931675992733
16,Cholesky,0.07150432061392177,0.0410360553504498,0.2248624361135666,0.1124676040259794
16,ZCA-cor,0.08064731743351243,0.15641049637250481,0.0943351726362593,0.11046432881409218
16,PCA-cor,0.07146100602294113,0.05440025984723508,0.22194998811829983,0.11593708466282533
17,ZCA,0.2412261386260815,0.05610970077236013,0.045630127988706255,0.1143219891290493
17,PCA,0.22991815791450668,0.052092589094780525,0.05350311328876466,0.11183795343268395
17,Cholesky,0.0931607007270314,0.10085849663067763,0.05224126911231224,0.08208682215667376
17,ZCA-cor,0.20601320359290495,0.10190431260447541,0.056567826262620316,0.12149511415333357
17,PCA-cor,0.18008381408273794,0.06786556228216989,0.05205444069004708,0.10000127235165164
18,ZCA,0.0978531768925167,0.19196379561809893,0.12928227783360227,0.1396997501147393
18,PCA,0.06767364782376248,0.20105897091448746,0.06839616537248762,0.11237626137024585
18,Cholesky,0.07333068058840601,0.19936694653095813,0.06707351789336995,0.11325704833757803
18,ZCA-cor,0.09576357332358992,0.20369868056536447,0.09869906558733943,0.13272043982543127
18,PCA-cor,0.07878030426633216,0.0870317704925527,0.1032190876979081,0.08967705415226433
19,ZCA,0.18462354707689604,0.04918372251316137,0.13446469424141713,0.12275732127715817
19,PCA,0.058517800538542296,0.07591307088173857,0.1988441964802287,0.11109168930016984
19,Cholesky,0.06452865457330521,0.08800929381835754,0.21018113583619813,0.12090636140928696
19,ZCA-cor,0.1707726213799016,0.05874896874619695,0.15598229886118015,0.1285012963290929
19,PCA-cor,0.1969510320256877,0.08964985438384518,0.097277773848134,0.1279595534192223
20,ZCA,0.11365726604896856,0.07231637875240102,0.1408601124714787,0.10894458575761608
20,PCA,0.26088042669800715,0.06292923000787905,0.0638998098395074,0.12923648884846453
20,Cholesky,0.0821241123896539,0.11213403979701561,0.1741764962243047,0.12281154947032474
20,ZCA-cor,0.07624354899736785,0.06516979978676986,0.21266434403671503,0.11802589760695091
20,PCA-cor,0.06928728504285599,0.2517454644207872,0.06215850510220009,0.12773041818861444
21,ZCA,0.11714192869497642,0.051593802853795064,0.12810022536139137,0.09894531897005428
21,PCA,0.09828422068248148,0.17864816338122438,0.0669982957972056,0.11464355995363716
21,Cholesky,0.04024355554035036,0.04235082599190692,0.25695660460738406,0.11318366204654712
21,ZCA-cor,0.11670055969718493,0.052246820422625274,0.10402753424310841,0.09099163812097287
21,PCA-cor,0.05338328518313699,0.20865174152284358,0.06128014969925779,0.10777172546841278
22,ZCA,0.08537445893241329,0.16444298420305417,0.03792466257309848,0.09591403523618865
22,PCA,0.2376174222521234,0.08822181092846426,0.08157869864741625,0.1358059772760013
22,Cholesky,0.0863208784400283,0.11959557272595787,0.1861611334256823,0.13069252819722282
22,ZCA-cor,0.08007748865838403,0.16757055279857436,0.11889061501687608,0.12217955215794483
22,PCA-cor,0.14913945948590446,0.09287573100661052,0.05595030582501484,0.09932183210584326
23,ZCA,0.07868990756118165,0.05188805991294843,0.12382773923111656,0.08480190223508222
23,PCA,0.06814181425135234,0.24436607445144498,0.043815296137848375,0.11877439494688191
23,Cholesky,0.05044111940609934,0.2531011319758929,0.058555892287483514,0.1206993812231586
23,ZCA-cor,0.07373355950990304,0.17266789931384993,0.10396400806716904,0.11678848896364068
23,PCA-cor,0.08276266058605015,0.2257995900862018,0.04025589904232861,0.11627271657152687
24,ZCA,0.1892200458049655,0.11688051059713951,0.07225564241678742,0.1261187329396308
24,PCA,0.074042047794155,0.05903531773284399,0.20197509921905943,0.11168415491535282
