method,mean_dcor,sd_dcor,p95_dcor,max_dcor
Cholesky,0.053754909257367846,0.011971197641929797,0.07513436087037245,0.1535530548775531
Mixed,0.18097065017653563,0.11384595196144863,0.40596884280625506,0.6995863785279066
PCA,0.05418945642716547,0.01222996470587996,0.07711906922349789,0.13585404664759645
PCA-cor,0.053939073221541,0.012112289835498362,0.0755207779649802,0.14808889563243027
ZCA,0.0535111257236439,0.011741116960097754,0.07460129527701485,0.1640725548784053
ZCA-cor,0.05344828977889862,0.011753226478975146,0.0749456085184358,0.16819427431014827
