seed,method,pair_01,pair_02,pair_12,mean_dcor
0,ZCA,0.06806290559904235,0.07222673913102587,0.3226547032473554,0.1543147826591412
0,PCA,0.21092066892850406,0.14144470839599854,0.13970980698532723,0.16402506143660991
0,Cholesky,0.09253471031636136,0.05817216953491369,0.3218243744190085,0.15751041809009453
0,ZCA-cor,0.0790374218514319,0.052508550338504316,0.3220956118461254,0.15121386134535386
0,PCA-cor,0.12154031054705364,0.07851848681651151,0.06842665353199202,0.08949515029851905
1,ZCA,0.09975511334396166,0.06867594144888106,0.10837880454412421,0.09226995311232229
1,PCA,0.29950356830191394,0.061021573421880096,0.06428525449765503,0.1416034654071497
1,Cholesky,0.072530569022955,0.2651628386686551,0.07853480695927197,0.13874273821696068
1,ZCA-cor,0.05390189883697549,0.1613122633937628,0.10790619350244673,0.10770678524439502
1,PCA-cor,0.2790289471159997,0.05956327938330537,0.07372147368726313,0.1374379000621894
2,ZCA,0.11966631152124632,0.0951165157902597,0.21184545013330844,0.14220942581493815
2,PCA,0.09444618236706126,0.22079637346441172,0.11629331182250092,0.1438452892179913
2,Cholesky,0.14642721932443295,0.07204315611395012,0.10425072347993238,0.10757369963943848
2,ZCA-cor,0.07819026745055206,0.053591485888889304,0.2523495007430068,0.12804375136081605
2,PCA-cor,0.08451477869606702,0.14631306008698686,0.21687127422438648,0.14923303766914678
3,ZCA,0.1519476563545346,0.08651742378352328,0.20372863255037066,0.14739790422947618
3,PCA,0.22068774237926025,0.05115557239831442,0.06831378392593598,0.11338569956783688
3,Cholesky,0.06085433881715355,0.06902770919510606,0.2587547121855802,0.12954558673261327
3,ZCA-cor,0.2355624706129906,0.10297220203679534,0.15742090173380394,0.16531852479452994
3,PCA-cor,0.19755364540126416,0.11575726272271185,0.06554271069838541,0.1262845396074538
4,ZCA,0.23660046652011152,0.14292059580115876,0.11285957566927211,0.1641268793301808
4,PCA,0.213192951458873,0.12268429824292795,0.18257133581775917,0.1728161951731867
4,Cholesky,0.21438196526926795,0.09017739061780292,0.16746884845259039,0.15734273477988706
4,ZCA-cor,0.1933490903308598,0.1817909204314798,0.1395919823955903,0.1715773310526433
4,PCA-cor,0.16369429180193515,0.08538880514031981,0.173537149181725,0.14087341537466
5,ZCA,0.2632562072372562,0.17391808364989098,0.12139348865149145,0.18618925984621285
5,PCA,0.09879391254286266,0.12628356889472708,0.2296490629193668,0.15157551478565218
5,Cholesky,0.23512063994823948,0.06642222893645366,0.10565126385719627,0.1357313775806298
5,ZCA-cor,0.2819941083960229,0.15682716603507743,0.11794802425215203,0.18558976622775078
5,PCA-cor,0.045106785003455115,0.18019609142096596,0.15337991176351082,0.12622759606264397
6,ZCA,0.06977133575489021,0.29468207473022323,0.08178334638923213,0.14874558562478185
6,PCA,0.09854173544995902,0.09168316615030127,0.2785608059760609,0.1562619025254404
6,Cholesky,0.0585158999554671,0.29532513557354484,0.06284476339934696,0.13889526630945295
6,ZCA-cor,0.16030222665668792,0.24393932062417908,0.11829716519389247,0.17417957082491983
6,PCA-cor,0.09073379861672595,0.09231811985632561,0.26516814610527933,0.14940668819277697
7,ZCA,0.2083094130909455,0.16233929541246975,0.14772148781309247,0.1727900654388359
7,PCA,0.28183755709471625,0.07895900002712362,0.07140956223543418,0.14406870645242467
7,Cholesky,0.1689067128241097,0.08335261590048192,0.1577267169531707,0.13666201522592078
7,ZCA-cor,0.2444938463349284,0.13715029529851042,0.1067256303782914,0.1627899240039101
7,PCA-cor,0.2721210201483034,0.09028017678753897,0.1001690447573251,0.15419008056438918
8,ZCA,0.08450017106864705,0.21829787776944978,0.1259970497977094,0.14293169954526874
8,PCA,0.0839489934112072,0.0951836870447656,0.3050091002282876,0.16138059356142012
8,Cholesky,0.14331481714060484,0.2125961008139395,0.18997240227070739,0.1819611067417506
8,ZCA-cor,0.05553919744769309,0.17957098920554057,0.0928308982580032,0.10931369497041228
8,PCA-cor,0.08135956577657869,0.096522522926968,0.31522191887758094,0.16436800252704253
9,ZCA,0.14179191748734787,0.19780627957193833,0.08651103605474052,0.1420364110380089
9,PCA,0.18304555039248838,0.10943263880507928,0.1040670469459548,0.13218174538117414
9,Cholesky,0.07764627947845924,0.2588311600123055,0.08634676229510715,0.14094140059529062
9,ZCA-cor,0.11489456844120885,0.2308465262786878,0.09001185402189125,0.14525098291392932
9,PCA-cor,0.10648452155583908,0.19217276892948615,0.09657592611636326,0.1317444055338962
10,ZCA,0.14748523186607573,0.16775816377511688,0.22926273992498075,0.18150204518872445
10,PCA,0.17655851426472588,0.15401020617685696,0.10001123075345526,0.14352665039834603
10,Cholesky,0.09705249304593473,0.17491022864749578,0.04951499230632518,0.10715923799991856
10,ZCA-cor,0.16382122206499256,0.22271935045892471,0.1643357754648588,0.18362544932959202
10,PCA-cor,0.11550023205692808,0.1914063723624143,0.0831877263665115,0.13003144359528462
11,ZCA,0.07588153362020254,0.29599793530999563,0.07874983691161164,0.15020976861393662
11,PCA,0.2183754386976556,0.13244702385831794,0.12498589051973596,0.15860278435856984
11,Cholesky,0.11079349477561581,0.20210306564036912,0.17335296527314806,0.16208317522971097
11,ZCA-cor,0.08095200024040962,0.29083547095320034,0.0842834944557822,0.15202365521646405
11,PCA-cor,0.25186391065736763,0.09894652476776877,0.10204183029891077,0.15095075524134907
12,ZCA,0.1669540947912687,0.1927942104063321,0.10582388925105099,0.15519073148288395
12,PCA,0.1033441208355671,0.14342356101882667,0.1840056508702576,0.1435911109082171
12,Cholesky,0.2705783725870799,0.07191011091179461,0.05716051553213844,0.13321633301033764
12,ZCA-cor,0.17753053772400046,0.17567776799202983,0.08742138066403227,0.1468765621266875
12,PCA-cor,0.09210647905815113,0.10288097305555705,0.25597595255696076,0.15032113489022297
