method,mean,std
Cholesky,0.08428387194128575,0.02229277002864995
PCA,0.08316154140237146,0.02341560199196206
PCA-cor,0.08051737449926412,0.019487729974002565
ZCA,0.08478188501546617,0.02354044974897505
ZCA-cor,0.08539466947072855,0.023593372370822784
