method,mean,std
Cholesky,0.11035279850676752,0.0655359803389872
PCA,0.1093949745673873,0.059278063002455694
PCA-cor,0.1121857203271373,0.06220981508379029
ZCA,0.11321562654880038,0.06813108534232827
ZCA-cor,0.11954585258654589,0.07047743989236357
