seed,Cholesky,PCA,PCA-cor,ZCA,ZCA-cor
0,0.062731802754675,0.056119185759458366,0.0807010977430823,0.08261662895885018,0.06902485091948911
1,0.09665217251846403,0.07154226307255285,0.11827078061060574,0.048752067583571174,0.04590475296908463
2,0.08830387841342557,0.05458664869797093,0.08747014391914665,0.06662780735295792,0.060520182480947975
3,0.08389572448042187,0.07337534006662001,0.06518524770237392,0.07252164271430729,0.08098711603865485
4,0.24468282946688677,0.18783605641102283,0.05284381474873149,0.26161789453952694,0.2667312428909775
5,0.10364010868075042,0.14412042848894108,0.10531366376934294,0.054544038759766086,0.08259736468364333
6,0.08210036172229429,0.2009461645884814,0.09531634675412948,0.12062949114919322,0.17952087871283104
7,0.19096184559576948,0.10420022960750677,0.062100432234535215,0.08287050945114262,0.10047508782836324
8,0.05580635924200966,0.14253650307791157,0.21779442796818432,0.05631313413874035,0.059014427987391226
9,0.14974924547430946,0.06403811686882833,0.06454928714507774,0.2056117910659553,0.1623920810924363
10,0.09526180297042665,0.10483959912307163,0.1783561451912216,0.08967193419216483,0.09157637405577403
11,0.15764929766243374,0.06062239544288666,0.07029625613163182,0.1490758077117517,0.2201561889067747
12,0.04702266318487157,0.08478348879061112,0.11109924680205976,0.2377468477900086,0.17386134067339346
13,0.06857228729585507,0.04509790681102329,0.055648549456977975,0.1667060614708871,0.15745820020513082
14,0.05038506400793437,0.057000051752597376,0.1913024958435028,0.03703280000733542,0.04297884773907442
15,0.053841079963291266,0.09678577813245023,0.2047970838025882,0.0517045380045397,0.049395508081909754
16,0.0410360553504498,0.05517513676007295,0.05440025984723508,0.08809242026842727,0.15641049637250481
17,0.10085849663067763,0.052092589094780525,0.06786556228216989,0.05610970077236013,0.10190431260447541
18,0.19936694653095813,0.20105897091448746,0.0870317704925527,0.19196379561809893,0.20369868056536447
19,0.08800929381835754,0.07591307088173857,0.08964985438384518,0.04918372251316137,0.05874896874619695
20,0.11213403979701561,0.06292923000787905,0.2517454644207872,0.07231637875240102,0.06516979978676986
21,0.04235082599190692,0.17864816338122438,0.20865174152284358,0.051593802853795064,0.052246820422625274
22,0.11959557272595787,0.08822181092846426,0.09287573100661052,0.16444298420305417,0.16757055279857436
23,0.2531011319758929,0.24436607445144498,0.2257995900862018,0.05188805991294843,0.17266789931384993
24,0.17992206219192175,0.05903531773284399,0.16616955460602162,0.11688051059713951,0.08233683822671936
25,0.04470473452850099,0.17738996278174252,0.23821915665520427,0.06639679728304017,0.06495956991083572
26,0.05725153513187515,0.2162980703861536,0.21198187602937638,0.06101604715101349,0.07416849374260294
27,0.2619009656434119,0.11038434527348744,0.2624207259483257,0.15545700434073328,0.06524879214400327
28,0.05498295051918074,0.11019522131337404,0.09162756210377297,0.06552660101845269,0.08997362460031501
29,0.0808190171072633,0.2619001713498211,0.25170951525851243,0.2474148525235702,0.23047446098188057
30,0.04842156601410674,0.06816069057833905,0.08702434535992608,0.054970687479104934,0.06899959395470649
31,0.06536010098214494,0.06591306972106427,0.04805458062459098,0.07498620519364006,0.07407483919335599
32,0.19305372734250525,0.13336151609771968,0.12000536928727192,0.05649847293993446,0.045019111429189455
33,0.25697672828492907,0.1710431227846519,0.11829590405615648,0.17270045514690874,0.1794933003068142
34,0.05728020226718116,0.04488771132531337,0.06337181820649242,0.1526742662043564,0.14888679146699896
35,0.07904296855200088,0.06986641330433069,0.07222778408411405,0.07617752624157212,0.07407314841370713
36,0.14477848975788624,0.13647675152766833,0.13774232306929776,0.22622728686930502,0.22149547632865463
