method,mean_gh,sd_gh,mean_gi,sd_gi,mean_hi,sd_hi,mean_mean_dcor,sd_mean_dcor
Cholesky,0.10788194086920452,0.0649895216283874,0.11035279850676749,0.06553598033898721,0.11418910817893341,0.0659224373583473,0.11080794918496847,0.015753810825102403
PCA,0.1091470519661383,0.06521894577671253,0.1093949745673873,0.05927806300245571,0.11613061543558295,0.06793803903986399,0.11155754732303619,0.013757753634132097
PCA-cor,0.11841918384601068,0.06776682117549317,0.11218572032713732,0.06220981508379029,0.10442462564436683,0.06149603984694439,0.11167650993917161,0.01527717046205974
ZCA,0.10340614445535495,0.06360289152828852,0.11321562654880037,0.06813108534232827,0.12269289828954891,0.07044017508419768,0.11310488976456808,0.01488136033494294
ZCA-cor,0.10154375399202314,0.058469007393192975,0.11954585258654589,0.07047743989236359,0.1223258286474101,0.06888739102344693,0.11447181174199304,0.014052860168653458
