seed,method,pair_01,pair_02,pair_12,mean_dcor
0,ZCA,0.07950742561077817,0.0643343600809516,0.12436974706365017,0.08940384425179332
0,PCA,0.08296526205718868,0.10634189431470437,0.09897502005594148,0.09609405880927818
0,Cholesky,0.05435720500357936,0.05039201121580334,0.14093851647633995,0.08189591089857422
0,ZCA-cor,0.09196764975846787,0.06904461573077272,0.12106810544379447,0.09402679031101169
0,PCA-cor,0.10463141672377942,0.09745274150574108,0.06378693071990182,0.08862369631647411
1,ZCA,0.09032079181390892,0.06915700537210738,0.09763389404205879,0.08570389707602503
1,PCA,0.07160956651159411,0.07254458078374423,0.10221263150090534,0.0821222595987479
1,Cholesky,0.09826788332084954,0.0677715694772942,0.08372359835676298,0.08325435038496891
1,ZCA-cor,0.10847098862897153,0.06590330816806696,0.08685172216823125,0.08707533965508991
1,PCA-cor,0.06967673094297692,0.07785016767395754,0.10152811051449086,0.08301833637714177
2,ZCA,0.08753659747913238,0.06264826629506859,0.07517716885331914,0.07512067754250672
2,PCA,0.08775228943152939,0.0885996476770248,0.06676514833566348,0.08103902848140589
2,Cholesky,0.09638573889111016,0.07349207358880244,0.08316689347102965,0.08434823531698075
2,ZCA-cor,0.054332425076871166,0.05843326092541528,0.09170189417684611,0.06815586005971086
2,PCA-cor,0.08986216767638848,0.08784783925358103,0.07470116698209203,0.0841370579706872
3,ZCA,0.07896053965278128,0.07586542517579999,0.10958514962507367,0.08813703815121832
3,PCA,0.10643997094939459,0.08204925576152114,0.052931877665162656,0.0804737014586928
3,Cholesky,0.11383656421585395,0.06510018824393862,0.11302563051469068,0.09732079432482775
3,ZCA-cor,0.07571345791225027,0.0794210612077064,0.10966627186690159,0.08826693032895276
3,PCA-cor,0.11380502547982216,0.06803377559430088,0.07882656795804517,0.08688845634405606
4,ZCA,0.07713669222483426,0.10011895167547016,0.0735303329407669,0.08359532561369043
4,PCA,0.05468028808202759,0.05971656715207272,0.12306000812855496,0.07915228778755175
4,Cholesky,0.11743477102874314,0.05942901215104703,0.05323595918085834,0.07669991412021616
4,ZCA-cor,0.07300680961163604,0.10795971591644997,0.0664392420500116,0.08246858919269921
4,PCA-cor,0.048322063156481694,0.060774830243899965,0.11246328053521447,0.07385339131186537
5,ZCA,0.0722420582324019,0.11231441881224097,0.10891810324753948,0.0978248600973941
5,PCA,0.1513454633753397,0.06268810781282724,0.050209812856516704,0.08808112801489454
5,Cholesky,0.04472313975250535,0.15122564189481402,0.05076114502224447,0.08223664222318795
5,ZCA-cor,0.07368224120764529,0.10888596749399056,0.11043257316475445,0.09766692728879676
5,PCA-cor,0.151631807014618,0.06535280770949356,0.06544959105848838,0.09414473526086664
6,ZCA,0.06722732468222484,0.08203753275168889,0.09510548228174222,0.08145677990521864
6,PCA,0.08542810222628372,0.0800282429602114,0.107560834237098,0.09100572647453103
6,Cholesky,0.07761146374809269,0.0592124860473392,0.09881725649309932,0.07854706876284373
6,ZCA-cor,0.06817628013261355,0.07749199665672092,0.09850946685774109,0.08139258121569186
6,PCA-cor,0.11345446174228005,0.11047479809437037,0.06181960287196725,0.09524962090287255
7,ZCA,0.07734016476809409,0.08883336542265051,0.08825257005243592,0.08480870008106017
7,PCA,0.09236608634438993,0.0719357750471942,0.09283937543159501,0.08571374560772638
7,Cholesky,0.05079490256481008,0.09054287825819969,0.0926454321808306,0.07799440433461345
7,ZCA-cor,0.07252212323288788,0.0927257022801567,0.0610276523740245,0.07542515929568969
7,PCA-cor,0.0900178398967779,0.08551239473726942,0.08838279319622813,0.0879710092767585
8,ZCA,0.14122902711705784,0.060392887757357634,0.06191265162078749,0.08784485549840099
8,PCA,0.05921528216559215,0.07673915554369282,0.13972448993014755,0.09189297587981084
8,Cholesky,0.1055984192394554,0.057754037411947186,0.06717479860613519,0.07684241841917926
8,ZCA-cor,0.13493989832801745,0.06438643863384332,0.056808901582647925,0.08537841284816956
