distribution,method,seed,base_dcor,mean_random_dcor,sd_random_dcor,min_random_dcor,max_random_dcor,fraction_better
e,ZCA,0,0.12247246366352202,0.12190489040408327,0.004237493736820327,0.11212935587310899,0.1325654249364715,0.54
e,ZCA,1,0.12026736717753875,0.12199738895106087,0.00479523376403912,0.1111384046542955,0.13657848936755038,0.39
e,ZCA,2,0.13016362386768224,0.11848152790029463,0.0040277668144021155,0.10472898871982315,0.12791326195985286,1.0
e,ZCA,3,0.10815642306724922,0.11394410464975194,0.004333944178084877,0.10276241583346792,0.12508480037128622,0.09
e,ZCA,4,0.12380803920071068,0.12375687910469221,0.004344238270622514,0.11067707440849807,0.13552428412303108,0.52
e,ZCA,5,0.12471041613609381,0.12101044376159209,0.004451837773824624,0.10993331821511866,0.1307509995756374,0.76
e,ZCA,6,0.11903229050479967,0.1200814355203972,0.004410396350580963,0.10967981163310422,0.13080845081386153,0.43
e,ZCA,7,0.12143458580471506,0.12406260779148384,0.0046294170656901576,0.11468636892008965,0.1378036186290134,0.31
e,ZCA,8,0.11219077009216114,0.11898764973546876,0.004340962497820655,0.10848732805813717,0.12964701114890265,0.06
e,ZCA,9,0.11990385302478639,0.11803660220032629,0.004159428056169481,0.1098263269870314,0.12689193757795567,0.69
e,ZCA,10,0.11938035919652658,0.12193516979423664,0.004477878978050981,0.11279837039871882,0.13917538671991764,0.27
e,ZCA,11,0.11683426068901627,0.12111480710711592,0.004556738915735489,0.10920526456979236,0.1336391514405096,0.14
e,ZCA,12,0.1227102652464499,0.12122333010353914,0.004414236279161596,0.10728509630434221,0.134718911240781,0.64
e,ZCA,13,0.11947878537173856,0.12042664120709556,0.00470819350761835,0.11009658831763405,0.13362051879617004,0.43
e,ZCA,14,0.12092524721907132,0.12114099170263985,0.004394737413459399,0.10912163126505293,0.13091587977437644,0.44
e,ZCA,15,0.12383766477698056,0.11908289865924038,0.00415821720536194,0.1092407626751685,0.12866916408813234,0.86
e,ZCA,16,0.1192615216720106,0.12082304817883766,0.004763582998934643,0.10937379897135976,0.13472491495085223,0.41
e,ZCA,17,0.11450275303756717,0.11728874638354528,0.0046806886150305505,0.106634059643856,0.1281767286481006,0.31
e,ZCA,18,0.12527728006006342,0.11824158991830436,0.00446959421509898,0.10750046814495157,0.12949375108063185,0.93
e,ZCA,19,0.12081110302184384,0.12094759357707391,0.004276153069600401,0.11277634334020026,0.13355536391683825,0.54
