distribution,method,seed,rotation,base_dcor,rotation_dcor,difference
e,ZCA,0,0,0.12247246366352202,0.12269513934983084,0.00022267568630882084
e,ZCA,0,1,0.12247246366352202,0.12562616609869476,0.0031537024351727394
e,ZCA,0,2,0.12247246366352202,0.11914976127202806,-0.003322702391493959
e,ZCA,0,3,0.12247246366352202,0.11921051674486133,-0.003261946918660691
e,ZCA,0,4,0.12247246366352202,0.12341481420691341,0.0009423505433913959
e,ZCA,0,5,0.12247246366352202,0.1277369051534722,0.005264441489950172
e,ZCA,0,6,0.12247246366352202,0.12451144540749115,0.0020389817439691316
e,ZCA,0,7,0.12247246366352202,0.1244980260247336,0.002025562361211583
e,ZCA,0,8,0.12247246366352202,0.11272494314311123,-0.009747520520410793
e,ZCA,0,9,0.12247246366352202,0.1247658662260051,0.002293402562483088
e,ZCA,0,10,0.12247246366352202,0.12607493011934773,0.003602466455825709
e,ZCA,0,11,0.12247246366352202,0.12400852792487975,0.0015360642613577308
e,ZCA,0,12,0.12247246366352202,0.12009445544105213,-0.0023780082224698906
e,ZCA,0,13,0.12247246366352202,0.12152302190337581,-0.0009494417601462052
e,ZCA,0,14,0.12247246366352202,0.12264023857822186,0.00016777491469983918
e,ZCA,0,15,0.12247246366352202,0.12032459699686032,-0.0021478666666616963
e,ZCA,0,16,0.12247246366352202,0.12490974712122108,0.0024372834576990576
e,ZCA,0,17,0.12247246366352202,0.12713317358424733,0.004660709920725314
e,ZCA,0,18,0.12247246366352202,0.11976028498110267,-0.0027121786824193528
e,ZCA,0,19,0.12247246366352202,0.1178925087897511,-0.004579954873770914
e,ZCA,0,20,0.12247246366352202,0.12007630603878082,-0.002396157624741199
e,ZCA,0,21,0.12247246366352202,0.119958991801444,-0.0025134718620780233
e,ZCA,0,22,0.12247246366352202,0.1213180334824966,-0.0011544301810254148
e,ZCA,0,23,0.12247246366352202,0.1237402557826686,0.0012677921191465852
e,ZCA,0,24,0.12247246366352202,0.12158990615930047,-0.0008825575042215456
e,ZCA,0,25,0.12247246366352202,0.1170786800725485,-0.005393783590973519
e,ZCA,0,26,0.12247246366352202,0.12488589560837306,0.0024134319448510383
