method,a-b,a-c,a-d,a-e,a-f,a-g,a-h,a-i,a-j,a-k,a-l,a-m,a-n,a-o,a-p,a-q,a-r,b-c,b-d,b-e,b-f,b-g,b-h,b-i,b-j,b-k,b-l,b-m,b-n,b-o,b-p,b-q,b-r,c-d,c-e,c-f,c-g,c-h,c-i,c-j,c-k,c-l,c-m,c-n,c-o,c-p,c-q,c-r,d-e,d-f,d-g,d-h,d-i,d-j,d-k,d-l,d-m,d-n,d-o,d-p,d-q,d-r,e-f,e-g,e-h,e-i,e-j,e-k,e-l,e-m,e-n,e-o,e-p,e-q,e-r,f-g,f-h,f-i,f-j,f-k,f-l,f-m,f-n,f-o,f-p,f-q,f-r,g-h,g-i,g-j,g-k,g-l,g-m,g-n,g-o,g-p,g-q,g-r,h-i,h-j,h-k,h-l,h-m,h-n,h-o,h-p,h-q,h-r,i-j,i-k,i-l,i-m,i-n,i-o,i-p,i-q,i-r,j-k,j-l,j-m,j-n,j-o,j-p,j-q,j-r,k-l,k-m,k-n,k-o,k-p,k-q,k-r,l-m,l-n,l-o,l-p,l-q,l-r,m-n,m-o,m-p,m-q,m-r,n-o,n-p,n-q,n-r,o-p,o-q,o-r,p-q,p-r,q-r
ZCA,0.16658206056616892,0.10265949899279969,0.12044024481173245,0.1325359110611146,0.14235309846618296,0.1323610482442491,0.10356504663122693,0.143938035092058,0.13906373696303165,0.14176048068633162,0.08981013366038532,0.13677855280788365,0.14808664373610075,0.15367262116693597,0.08643073786818778,0.19892041516938475,0.14350338059083798,0.13066678592030329,0.14357218980013703,0.12508214343032245,0.114839568936635,0.17078281555566815,0.15928658329151407,0.13750376246078783,0.12691867551086825,0.13905689578915437,0.14227966134946224,0.16314043338169182,0.1392080235048844,0.1077545293967244,0.1260670915273843,0.17139897726716277,0.137217852690314,0.09923492612781797,0.10882895046568822,0.15498351687750722,0.09855108426104485,0.16687093793554697,0.08297444793740931,0.13425395860438952,0.13385903390231513,0.12887294074939104,0.13312551677171003,0.17344017845158072,0.1370151498502233,0.12249580313021498,0.12268975673335458,0.07405278550861566,0.07481854591610634,0.1033515630085975,0.1257401218460622,0.10737389598448385,0.12598771594436375,0.1277152560524694,0.11399042046344016,0.1504843277116711,0.17084154894055462,0.12666377960094416,0.12649309713733803,0.07424584735285326,0.14267951498884543,0.13438888386386713,0.14681983324912906,0.07831454568316396,0.13094354811230824,0.19041679217812738,0.11370553651984275,0.0811200130485123,0.0955156024189309,0.1119324327438271,0.15920971240190895,0.10038777950927857,0.13606335589989277,0.1261309618820548,0.14298327617309747,0.14526207093791674,0.1154234494333474,0.1297218543852817,0.17667350320978278,0.08635727932863232,0.17354831322325248,0.18112423145232803,0.14469180165522477,0.1223941198209876,0.12247025252157784,0.14987969929688305,0.10605518314573834,0.17132777700166976,0.15190714613674555,0.1262026516070606,0.12073555828047912,0.1533194624832362,0.1902071169160348,0.12298333623133784,0.14344746123023383,0.12397073613800877,0.11196457150270187,0.13330697633910193,0.10772028474754328,0.09196678098708724,0.1325064985403398,0.11517096478335508,0.11896351711503912,0.10199887670985061,0.1595464792530163,0.10177209975670229,0.11067347793688681,0.18634015122734965,0.12898071871946962,0.10897014258275678,0.125121547199991,0.14218921381008404,0.13455188542599367,0.12354313375474431,0.08712002386905088,0.09782864793947625,0.1139737625869755,0.09069157928043671,0.1384277184355723,0.12827097964422107,0.1469174872937896,0.1289995876772545,0.10578525240832093,0.13318230668001324,0.09322530611255522,0.15780157302284956,0.1292480310380224,0.09959694094087913,0.12398886290666286,0.1319255001273593,0.14206414620679733,0.10952130591418774,0.08615969567263618,0.10817809143936062,0.15729855094085513,0.08896417098815598,0.1523822834509404,0.1296379203929196,0.10281158018691725,0.13258146874857554,0.12797669763093583,0.13173134528333666,0.1316923773626817,0.1118138344199727,0.07705376805800147,0.09375195959805054,0.09648382486291332,0.1263735603046801,0.13517489550161024,0.0669834420215575,0.12057859188872036,0.17547022714263327,0.08984508621867612
PCA,0.16932309283737357,0.09555098736119441,0.12089837683551378,0.12829645239963344,0.14004550597075602,0.13262806211755834,0.10081335884846701,0.14809518432494703,0.13957082939079385,0.14132807539271044,0.0931383347660375,0.13051511473777616,0.151791739544206,0.15008981863518045,0.07983142719483188,0.197746741283562,0.14464923927694406,0.12475995257324485,0.1356586226301962,0.1221770200142149,0.11140202253737241,0.17036824628536396,0.15673568704195406,0.13232490965385862,0.12232389609254071,0.13927872884646475,0.14083798495805552,0.16642798468031972,0.14392628315054737,0.10468396623129164,0.12575377973193777,0.17284970932204352,0.14204121919687956,0.09095705440445293,0.10460858248634568,0.15231340815859426,0.09329610380514079,0.1638214816293162,0.08525295446906525,0.13143676042987418,0.13383107692026147,0.12428768972137867,0.12425682857754633,0.17425065974118736,0.1303198590693282,0.12324861359342894,0.12270782843100746,0.0672395096249287,0.07487122367712343,0.10559591729707823,0.12382829388335102,0.10810156061059598,0.12656804424728924,0.1244758537421968,0.1132654506102272,0.15092412018711834,0.1671458350083382,0.13262061268155162,0.12969322599804897,0.07740898065652764,0.1453512674201746,0.13343142894717025,0.14340160375976088,0.07603250052926944,0.12811449453265736,0.19536381610099485,0.11329811939398213,0.07587628205025802,0.09491636733278255,0.11047561645500077,0.16174685284371523,0.09474817673289139,0.13572125230834617,0.13073521708400848,0.14197950855802832,0.13751774285388446,0.11588707907695789,0.12512334568388084,0.17638272675865932,0.08435321158198368,0.17791477188980317,0.18102085293010883,0.1460977280093933,0.12497569910074927,0.12336090275335236,0.15162008215230544,0.10211700603974894,0.17192409932260294,0.1461331392393973,0.12693448897290757,0.11734157556092083,0.1495653267840465,0.1876632282939197,0.12289228043836678,0.13949465045010134,0.12152131596790111,0.11123385090130997,0.12670891890095493,0.10853273220507746,0.09593228116594775,0.12865763069451747,0.11746777125312452,0.11539920394496475,0.10786834858502566,0.16150974765429044,0.1019882897874316,0.11561854041698973,0.1839875614749878,0.1282066764781498,0.10663134684947188,0.12241189875312773,0.13719093720570727,0.13482748997784486,0.1242895690406956,0.0869196511266842,0.10430854514777048,0.11803408264336532,0.08750389773632973,0.13926597628008108,0.12896625559619843,0.14630569787463168,0.12315374894089211,0.10417083062880753,0.1317749029782242,0.09126834978444916,0.16165777061452466,0.1257226178650823,0.09734766609590727,0.12294665314812936,0.1323777953057541,0.14263182295622356,0.10369178939768338,0.08672773513077557,0.11423586001762452,0.15353939743206257,0.0934375038698177,0.1543012284472744,0.13548074829602721,0.10676732108481797,0.1251431015008118,0.12536939692584018,0.13127260713355612,0.1302619379664427,0.11907120940154872,0.08619358446094408,0.10300339961298961,0.09528222704441716,0.12693525428357344,0.14046873100435348,0.06632934267312082,0.12028286050734473,0.1756908204456272,0.08799388556920046
Cholesky,0.16834088359884866,0.10024262481561323,0.12300362329177866,0.12771670183435577,0.1406770579260431,0.13362857217582014,0.1010692127856799,0.14127504443156785,0.1396631611212199,0.13928966205627097,0.09327546082394002,0.1367606300135939,0.14764897208469815,0.15633556452013964,0.08594579629596244,0.19846460002805266,0.14705497839279852,0.13034707091471986,0.1440836327023884,0.13072047572883808,0.11051384148523416,0.17211765071747567,0.15862441993081786,0.13692094393006904,0.13073386509021057,0.13582707489088278,0.14215445470178367,0.16436385053899966,0.14084881899029544,0.10493095177317752,0.12977813689959738,0.1721063333082118,0.13949886277695456,0.09619931256629465,0.11065055242583413,0.15121893931422675,0.0987419632559549,0.1654331577380755,0.08246529438241598,0.13349870659080973,0.1341973057571328,0.12590032313029884,0.12142953928864929,0.17511995485109086,0.1335361195752503,0.12586703210510525,0.11917726983609399,0.07529133133516658,0.07314719812371004,0.10439690847633382,0.1288461890194733,0.10806046047230519,0.1293375571278974,0.12602481355052156,0.11438926300878297,0.15210265514948368,0.17190417069425695,0.1306699639240924,0.128694285394247,0.07557070593964829,0.1422406495058109,0.1392212258275625,0.14726422321886543,0.08007242022148577,0.12858023259431334,0.19573345214070675,0.1148786349615268,0.08327613245681331,0.09760771774329373,0.11342856677220095,0.1654005602999191,0.09698293986467449,0.13589119486446408,0.12732493829739533,0.14236690309365224,0.14102667095094534,0.11099748202687207,0.12291160460960586,0.18106526088143493,0.08250283828160529,0.17240260338633662,0.1837846833799135,0.14228377946868204,0.12405060195467221,0.11737270020141621,0.14799804233658098,0.10435147740039238,0.17348673162963718,0.14909976937911848,0.1313410357797516,0.1184140974010493,0.1490712102073292,0.19181301663317532,0.12706802855140503,0.1395921719312783,0.12089162466591473,0.11447744685745162,0.13501987570786628,0.10263839663813326,0.09174666019382,0.12728570499223774,0.11478322991105919,0.11702616698102641,0.10677030714613178,0.16125509285777495,0.10090363542779676,0.10939019974797781,0.1919531411194655,0.13048221795524648,0.10862132459357206,0.12240850500221792,0.13691875021737807,0.1315900693255218,0.1261674482914752,0.08612448604034327,0.09961174690932822,0.11506114910500331,0.08863680221153458,0.14209408370975868,0.13348710587104334,0.1448509677291738,0.1261164037570056,0.10906146766857797,0.1325886946908552,0.09455618671578078,0.15622265675592406,0.1269184879268276,0.09263170191815365,0.11949610167391622,0.12962218546553922,0.14007973976616772,0.10453783873236447,0.0837729295032132,0.11055632041488049,0.15513803938758067,0.08447515380794324,0.15662123862793917,0.1335937342843012,0.10989050089501307,0.12967578551107256,0.1270251515148253,0.12661117836337518,0.13193152903111321,0.1130254485517466,0.07878403358269764,0.09814568416227418,0.09121019467082461,0.1207364916468506,0.1342422818839308,0.06701247682933825,0.1208790939482812,0.1726172883355257,0.08929869953750083
ZCA-cor,0.16601268474441527,0.10308928868086858,0.12019824665506192,0.13296427091706006,0.14220067814412463,0.13244358899789394,0.10281096459896576,0.14450081180817972,0.13797938881054173,0.14154399520347327,0.08968795768030695,0.1357229860552822,0.14824588884964296,0.1533272293208754,0.08692942797645076,0.19853751224864935,0.14364728378721264,0.130659469759479,0.14386574922957643,0.12465416974114574,0.11543213326335838,0.17108377325838228,0.15960247229316346,0.13742197467533485,0.1276615260779066,0.13909703213573887,0.14139624293433475,0.16334332673722982,0.139443000407286,0.10747768589041087,0.12604657129410518,0.17181228091061904,0.13720132602787888,0.09947353289544941,0.10913949849289285,0.15457956245322635,0.09846696833514666,0.16758837319387226,0.08283800599248542,0.1339203783878318,0.13356149096582642,0.12910546110682508,0.13343363622821158,0.17356717587956003,0.13722019852066447,0.12196849098150792,0.12283865199152583,0.07504885963022312,0.07491883412905474,0.10322519003961864,0.12577651141106788,0.10682640881211959,0.1258348972203729,0.12822470193712415,0.1142046085141817,0.14973016358121627,0.17140648206444398,0.12665098433543345,0.12557743316976444,0.07437433450960193,0.14254188615339392,0.13393810455285168,0.1474207525439675,0.07912765389614808,0.13063361947025812,0.19028300917086582,0.11451269455432743,0.08167003524591263,0.09488475661019617,0.11261888258195138,0.15981212077791454,0.10044557252752448,0.1362077480271389,0.1275593297852209,0.14246675469178977,0.1452543603877189,0.11531536525219538,0.1295720846562322,0.1757922105444135,0.0866896366905334,0.17357341865438286,0.18147137280960063,0.14473743308342202,0.12147338203083219,0.12189472937456482,0.14909865436785202,0.10623266400519114,0.17068846686393874,0.15289591835573438,0.12677152313494744,0.12098530967958632,0.1539739145503062,0.1901751757076001,0.12349468164025532,0.1440299758931078,0.12387478347848621,0.11227469726111025,0.13375794243381334,0.10766474120611817,0.09230080532196633,0.1326804287114071,0.11466720936244412,0.11894092341006321,0.10220845577206669,0.16095924924838056,0.10224956210928433,0.11119300831220692,0.18624798252743707,0.12968168917189,0.1089768477564733,0.12478503220987253,0.14234012826144926,0.13491356938734528,0.12348315188638423,0.08734630324729492,0.09923840473187193,0.11388285534210056,0.09014570606284247,0.13763164528374128,0.12869073408231285,0.14660456868181596,0.1293520124495185,0.10648874226295485,0.1343588145857127,0.09345675218870989,0.1579575049406162,0.12866099240216622,0.09914265882569331,0.12440099447597948,0.13218625276373025,0.1423458569192703,0.1088174328776451,0.08528771703174312,0.10732683686105654,0.1580039799993017,0.08923574585104199,0.15272297547803826,0.12848523028371328,0.1031691065897074,0.13306831095071192,0.12776173979387306,0.13211512579633033,0.130423858967263,0.11251389464648662,0.0768106698550752,0.09456823550703378,0.09663453809998114,0.12614554546274676,0.1356591766553915,0.06663288102522599,0.12064722189293031,0.17552153117183053,0.09049340680072343
PCA-cor,0.16957992560376803,0.09943106683351419,0.12060325137660309,0.12859186126485053,0.13931455630737205,0.13383894718719935,0.10107090807579412,0.1464991165025391,0.14013083529772008,0.14085308831788973,0.0919398472266916,0.13423816078353956,0.14894693967246553,0.1553569903771302,0.07594357007976328,0.19643547512927625,0.1464616950903543,0.12628245469989446,0.136694555296056,0.12402532236825989,0.11124544709036292,0.17207627916874996,0.15694675107896622,0.13660209051887212,0.12424853605991891,0.1357471751839686,0.14113401363868178,0.1662566233894734,0.14394375357358702,0.1062228504735763,0.12674854209760578,0.1718771506746088,0.13993995105821053,0.0909769774597993,0.10800016566537028,0.14957600301283697,0.08991779326346529,0.16619360488681717,0.08638843077405448,0.130747593296409,0.13115487269839426,0.125913437809026,0.12581210423721834,0.17072406643318513,0.13465193960789057,0.12392357969485274,0.11944489251391102,0.06957170721170497,0.0752228294555218,0.10999996497556393,0.11823228701126368,0.11023485156771719,0.12786951024790338,0.12354437024816475,0.1111227105674819,0.15219387507509236,0.16868961942541197,0.13154617534832252,0.13288100417752857,0.0760390015565753,0.14369126919417058,0.13608363978598487,0.14552275417089724,0.0686388896723176,0.13098354760052494,0.194067109261954,0.11212830384648018,0.078957635654477,0.09395595268985864,0.11274226552619665,0.16193361535091566,0.09937381128188327,0.1327587814881896,0.13084213457044808,0.14328230550626453,0.14362045500198317,0.11896942747134358,0.12214132049175846,0.18293703686881155,0.08411023734133571,0.17793926738081192,0.1857133254513364,0.1483743939420866,0.12754370403031268,0.12321932161768649,0.15236561729993714,0.10815241405089744,0.17133864733623805,0.1467934286600076,0.12790108075955176,0.10929752770261027,0.14929189634855614,0.18383916187355592,0.12503840948076972,0.1440471644705704,0.12070572169810397,0.11523315861330569,0.12680592488383155,0.10545271530819832,0.09826781702708279,0.12723879795902443,0.1162946039171195,0.116344316091545,0.10640641087646266,0.16213772757119596,0.10447599608739594,0.11328829926367828,0.18575271195297033,0.13304313147776403,0.10693604676944381,0.123832987199323,0.14089647992838647,0.13621056362229783,0.1247112292722416,0.08374966246821977,0.10518738039818215,0.11362420717364641,0.08707670650442587,0.136124306953659,0.12961880114750862,0.1462694472871051,0.12615493243850687,0.10271052577756086,0.1315856109725017,0.09030514243670368,0.15745015850213434,0.12369212479947339,0.09393749371821347,0.12450907687902958,0.13089079838637113,0.14146692423970975,0.10456236863798057,0.08441477753294885,0.1115603610603754,0.1589226318047461,0.09239990674381374,0.1542046131128622,0.13273093045818948,0.10315479706234132,0.13045366928055444,0.12468026574555341,0.13403049013795998,0.13497714051003346,0.11776393718206414,0.08521880912258206,0.09879909513617163,0.08825847625582042,0.12526147147083186,0.13894297664421784,0.07338939709219573,0.12166258292538493,0.17497972859168875,0.08967795510406977
