distribution,method,seed,rotation,base_dcor,rotation_dcor,difference
e,ZCA,0,0,0.1424130068609254,0.12744423801212487,-0.014968768848800523
e,ZCA,0,1,0.1424130068609254,0.1311288614428404,-0.011284145418085006
e,ZCA,0,2,0.1424130068609254,0.13400544698762135,-0.008407559873304049
e,ZCA,0,3,0.1424130068609254,0.13154800053091245,-0.010865006330012944
e,ZCA,0,4,0.1424130068609254,0.13051668979760458,-0.01189631706332081
e,ZCA,0,5,0.1424130068609254,0.13691036273208226,-0.005502644128843132
e,ZCA,0,6,0.1424130068609254,0.1291582844460956,-0.013254722414829806
e,ZCA,0,7,0.1424130068609254,0.13338942069528137,-0.009023586165644026
e,ZCA,0,8,0.1424130068609254,0.1418317829117383,-0.0005812239491870819
e,ZCA,0,9,0.1424130068609254,0.13827084955274066,-0.004142157308184735
e,ZCA,0,10,0.1424130068609254,0.13284744646252217,-0.009565560398403228
e,ZCA,0,11,0.1424130068609254,0.13616653416548916,-0.006246472695436239
e,ZCA,0,12,0.1424130068609254,0.14217625923951496,-0.00023674762141043248
e,ZCA,0,13,0.1424130068609254,0.134826279374014,-0.007586727486911388
e,ZCA,0,14,0.1424130068609254,0.13210977942438054,-0.010303227436544854
e,ZCA,0,15,0.1424130068609254,0.1310093050913405,-0.011403701769584884
e,ZCA,0,16,0.1424130068609254,0.13908378097151158,-0.0033292258894138116
e,ZCA,0,17,0.1424130068609254,0.12814099199226103,-0.014272014868664362
e,ZCA,0,18,0.1424130068609254,0.13471754286289053,-0.007695463998034863
e,ZCA,0,19,0.1424130068609254,0.12347589950174832,-0.01893710735917707
e,ZCA,0,20,0.1424130068609254,0.13967418685288538,-0.002738820008040016
e,ZCA,0,21,0.1424130068609254,0.12646269324156217,-0.01595031361936322
e,ZCA,0,22,0.1424130068609254,0.13889702672598447,-0.0035159801349409214
e,ZCA,0,23,0.1424130068609254,0.1294036817959407,-0.0130093250649847
e,ZCA,0,24,0.1424130068609254,0.13037485592407552,-0.012038150936849873
e,ZCA,0,25,0.1424130068609254,0.12311342326931372,-0.01929958359161167
